unitAvail,unitInspec,askIncome,callBack,finHelp,followUp,otherInspec,agentAge,auditorChild,auditorKid,auditorCouple,isQualified,agentBLK,agentFEM,auditID,pctBLK,houseVAL,officeBLK,inCity,sameAgent,race
1,0,0,1,1,0,0,50,0,0,1,0,0,1,160023088,22.5,85000,6.0999999,1,0,white
1,1,1,1,1,0,0,50,1,1,1,1,0,0,160023168,0.090000004,180000,0.029999999,0,1,white
1,1,1,1,0,0,0,50,1,0,1,1,0,0,160019296,0,125000,0,1,0,white
1,0,0,0,0,0,1,45,0,0,1,0,0,1,160019408,7.2572727,1e+05,1.25,1,0,white
1,1,0,1,0,0,0,40,0,0,1,0,0,0,160022720,0.02,105000,0.059999999,0,1,white
1,1,0,1,0,0,0,50,1,0,1,0,0,0,160022816,0.039999999,120000,0,1,0,white
1,1,0,0,1,0,0,35,1,1,1,0,0,1,160017376,1.71,167500,0.25,0,0,white
1,0,0,0,0,0,0,45,1,1,1,0,0,1,160018384,7.2572727,125000,0.02,1,0,white
1,0,0,1,0,0,0,25,1,1,1,0,0,1,160018400,7.2572727,175000,12.13,1,0,white
0,1,0,1,0,0,0,40,1,1,1,0,0.015463918,1,160023024,4.3997183,195000,4.2053261,0.4742268,2,white
1,1,0,0,0,0,0,45,1,1,1,0,0,1,160017536,0.28,125500,0.33000001,0,0,white
1,0,0,1,1,0,0,40,0,0,1,0,0,1,160017600,0.85000002,87500,1.71,0,0,white
1,1,0,1,0,0,0,40,0,0,1,0,0,1,160020384,0.23,177450,0.67000002,0,0,white
1,1,0,1,0,1,1,55,1,0,1,1,0,1,160017552,0.57999998,127500,0.30000001,0,0,white
1,1,0,0,0,0,0,30,1,0,1,0,0,1,160020496,4.3997183,140000,4.2053261,0.4742268,0,white
1,1,0,0,0,1,0,59,1,0,1,0,0,0,160019424,0.18000001,170000,0.14,0,1,white
1,0,0,1,0,0,0,40,1,0,0,0,0,1,160019552,5.0900002,85000,0.63999999,1,0,white
1,1,0,1,0,0,0,50,1,1,1,0,0,1,160000048,0,145000,1.41,1,0,white
1,1,0,1,1,0,1,40,1,0,1,0,0,0,160019504,0,125000,7.4237776,1,0,white
1,1,0,1,0,0,0,50,0,0,1,0,0,1,160020384,16.200001,117500,1.5599999,0,1,white
1,1,0,0,0,0,0,30,0,0,1,0,0,1,160023072,3.5599999,135000,6.0999999,1,0,white
1,1,1,1,1,1,0,30,1,0,1,1,0,1,160018272,0.02,160000,0,0,0,white
1,1,0,1,1,1,0,55,1,0,1,1,0,0,160019456,0.28999999,140000,0,0,2,white
1,0,1,1,1,1,0,32,1,1,0,1,0,0,160018432,6.0999999,50000,5.7199998,1,0,white
1,0,0,1,1,0,0,45,0,0,0,0,0,1,160018416,1.9181579,60000,1.0309303,0,0,white
1,0,0,1,0,0,1,48,1,0,0,0,0,0,160018496,25.719999,60000,25.719999,1,1,white
1,0,0,1,1,0,0,58,0,0,0,0,0,0,160020416,6.0999999,88750,3.5599999,1,1,white
1,0,0,1,0,0,0,39,0,0,1,0,0,0,160020272,12.13,80000,12.13,1,1,white
